zone,day_of_week,hour,is_weekday,is_rush_hour,congestion_score,congestion_level,pollution_score,pollution_level,infra_score,infra_level
Indiranagar,3,10,1,1,0.803,high,0.461,medium,0.531,medium
MG Road,3,11,1,0,0.702,high,0.495,medium,0.504,medium
Whitefield,3,11,1,0,0.619,medium,0.278,low,0.431,medium
Koramangala,3,11,1,0,0.467,medium,0.127,low,0.424,medium
Electronic City,3,11,1,0,0.848,high,0.473,medium,0.682,high
Indiranagar,3,11,1,0,0.634,medium,0.373,medium,0.523,medium
MG Road,3,12,1,0,0.845,high,0.599,medium,0.692,high
Whitefield,3,12,1,0,0.526,medium,0.385,medium,0.219,low
Koramangala,3,12,1,0,0.391,medium,0.183,low,0.283,low
Electronic City,3,12,1,0,0.849,high,0.703,high,0.575,medium
Indiranagar,3,12,1,0,0.513,medium,0.327,medium,0.601,high
MG Road,3,13,1,0,0.811,high,0.8,high,0.664,high
Whitefield,3,13,1,0,0.615,medium,0.4,medium,0.409,medium
Koramangala,3,13,1,0,0.388,medium,0.342,medium,0.451,medium
Electronic City,3,13,1,0,0.687,high,0.348,medium,0.266,low
Indiranagar,3,13,1,0,0.641,medium,0.338,medium,0.316,medium
MG Road,3,14,1,0,0.831,high,0.831,high,0.632,high
Whitefield,3,14,1,0,0.667,high,0.475,medium,0.407,medium
Koramangala,3,14,1,0,0.474,medium,0.302,medium,0.416,medium
Electronic City,3,14,1,0,0.776,high,0.476,medium,0.584,medium
Indiranagar,3,14,1,0,0.586,medium,0.335,medium,0.563,medium
MG Road,3,15,1,0,0.728,high,0.513,medium,0.59,medium
Whitefield,3,15,1,0,0.687,high,0.528,medium,0.422,medium
Koramangala,3,15,1,0,0.465,medium,0.465,medium,0.442,medium
Electronic City,3,15,1,0,0.751,high,0.394,medium,0.369,medium
Indiranagar,3,15,1,0,0.576,medium,0.342,medium,0.487,medium
MG Road,3,16,1,0,0.805,high,0.616,high,0.615,high
Whitefield,3,16,1,0,0.639,medium,0.454,medium,0.208,low
Koramangala,3,16,1,0,0.325,low,0.213,low,0.209,low
Electronic City,3,16,1,0,0.798,high,0.712,high,0.616,high
Indiranagar,3,16,1,0,0.583,medium,0.557,medium,0.523,medium
MG Road,3,17,1,1,1.0,high,0.639,high,0.67,high
Whitefield,3,17,1,1,0.819,high,0.59,medium,0.494,medium
Koramangala,3,17,1,1,0.65,high,0.499,medium,0.579,medium
Electronic City,3,17,1,1,1.0,high,0.552,medium,0.32,medium
Indiranagar,3,17,1,1,0.925,high,0.511,medium,0.622,high
MG Road,3,18,1,1,0.956,high,0.489,medium,0.737,high
Whitefield,3,18,1,1,0.911,high,0.58,medium,0.255,low
Koramangala,3,18,1,1,0.606,medium,0.464,medium,0.295,low
Electronic City,3,18,1,1,1.0,high,0.698,high,0.633,high
Indiranagar,3,18,1,1,0.86,high,0.504,medium,0.738,high
MG Road,3,19,1,1,1.0,high,0.697,high,0.607,high
Whitefield,3,19,1,1,0.815,high,0.482,medium,0.459,medium
Koramangala,3,19,1,1,0.787,high,0.414,medium,0.353,medium
Electronic City,3,19,1,1,1.0,high,0.679,high,0.508,medium
Indiranagar,3,19,1,1,0.933,high,0.593,medium,0.831,high
MG Road,3,20,1,1,1.0,high,0.651,high,0.916,high
Whitefield,3,20,1,1,0.802,high,0.635,high,0.501,medium
Koramangala,3,20,1,1,0.754,high,0.684,high,0.505,medium
Electronic City,3,20,1,1,0.94,high,0.704,high,0.483,medium
Indiranagar,3,20,1,1,1.0,high,0.714,high,0.638,high
MG Road,3,21,1,0,0.815,high,0.436,medium,0.529,medium
Whitefield,3,21,1,0,0.696,high,0.422,medium,0.324,medium
Koramangala,3,21,1,0,0.443,medium,0.429,medium,0.449,medium
Electronic City,3,21,1,0,0.83,high,0.505,medium,0.365,medium
Indiranagar,3,21,1,0,0.72,high,0.472,medium,0.538,medium
MG Road,3,22,1,0,0.906,high,0.69,high,0.708,high
Whitefield,3,22,1,0,0.773,high,0.477,medium,0.552,medium
Koramangala,3,22,1,0,0.405,medium,0.31,medium,0.515,medium
Electronic City,3,22,1,0,0.791,high,0.607,high,0.599,medium
Indiranagar,3,22,1,0,0.571,medium,0.316,medium,0.399,medium
MG Road,3,23,1,0,0.643,medium,0.656,high,0.447,medium
Whitefield,3,23,1,0,0.582,medium,0.38,medium,0.414,medium
Koramangala,3,23,1,0,0.465,medium,0.412,medium,0.328,medium
Electronic City,3,23,1,0,0.737,high,0.544,medium,0.445,medium
Indiranagar,3,23,1,0,0.729,high,0.559,medium,0.64,high
MG Road,4,0,1,0,0.553,medium,0.504,medium,0.539,medium
Whitefield,4,0,1,0,0.196,low,0.177,low,0.163,low
Koramangala,4,0,1,0,0.058,low,0.099,low,0.347,medium
Electronic City,4,0,1,0,0.452,medium,0.347,medium,0.526,medium
Indiranagar,4,0,1,0,0.319,low,0.484,medium,0.459,medium
MG Road,4,1,1,0,0.359,medium,0.327,medium,0.482,medium
Whitefield,4,1,1,0,0.403,medium,0.35,medium,0.297,low
Koramangala,4,1,1,0,0.002,low,0.0,low,0.116,low
Electronic City,4,1,1,0,0.404,medium,0.341,medium,0.503,medium
Indiranagar,4,1,1,0,0.332,low,0.113,low,0.452,medium
MG Road,4,2,1,0,0.596,medium,0.356,medium,0.525,medium
Whitefield,4,2,1,0,0.301,low,0.132,low,0.335,medium
Koramangala,4,2,1,0,0.09,low,0.105,low,0.147,low
Electronic City,4,2,1,0,0.415,medium,0.363,medium,0.304,medium
Indiranagar,4,2,1,0,0.438,medium,0.267,low,0.473,medium
MG Road,4,3,1,0,0.575,medium,0.26,low,0.354,medium
Whitefield,4,3,1,0,0.178,low,0.251,low,0.166,low
Koramangala,4,3,1,0,0.305,low,0.157,low,0.34,medium
Electronic City,4,3,1,0,0.573,medium,0.602,high,0.61,high
Indiranagar,4,3,1,0,0.397,medium,0.38,medium,0.493,medium
MG Road,4,4,1,0,0.562,medium,0.338,medium,0.443,medium
Whitefield,4,4,1,0,0.3,low,0.193,low,0.225,low
Koramangala,4,4,1,0,0.156,low,0.205,low,0.271,low
Electronic City,4,4,1,0,0.568,medium,0.284,low,0.383,medium
Indiranagar,4,4,1,0,0.243,low,0.0,low,0.364,medium
MG Road,4,5,1,0,0.79,high,0.705,high,0.679,high
Whitefield,4,5,1,0,0.518,medium,0.548,medium,0.479,medium
Koramangala,4,5,1,0,0.447,medium,0.29,low,0.283,low
Electronic City,4,5,1,0,0.72,high,0.613,high,0.652,high
Indiranagar,4,5,1,0,0.723,high,0.458,medium,0.452,medium
MG Road,4,6,1,0,0.811,high,0.391,medium,0.657,high
Whitefield,4,6,1,0,0.588,medium,0.365,medium,0.226,low
Koramangala,4,6,1,0,0.441,medium,0.255,low,0.259,low
Electronic City,4,6,1,0,0.52,medium,0.361,medium,0.56,medium
Indiranagar,4,6,1,0,0.733,high,0.467,medium,0.508,medium
MG Road,4,7,1,0,0.838,high,0.486,medium,0.665,high
Whitefield,4,7,1,0,0.661,high,0.586,medium,0.404,medium
Koramangala,4,7,1,0,0.384,medium,0.181,low,0.271,low
Electronic City,4,7,1,0,0.732,high,0.549,medium,0.559,medium
Indiranagar,4,7,1,0,0.536,medium,0.524,medium,0.462,medium
MG Road,4,8,1,1,1.0,high,0.625,high,0.458,medium
Whitefield,4,8,1,1,0.921,high,0.718,high,0.49,medium
Koramangala,4,8,1,1,0.655,high,0.51,medium,0.306,medium
Electronic City,4,8,1,1,0.958,high,0.75,high,0.433,medium
Indiranagar,4,8,1,1,0.873,high,0.476,medium,0.671,high
MG Road,4,9,1,1,1.0,high,0.538,medium,0.816,high
Whitefield,4,9,1,1,0.791,high,0.473,medium,0.487,medium
Koramangala,4,9,1,1,0.742,high,0.418,medium,0.503,medium
Electronic City,4,9,1,1,1.0,high,0.769,high,0.593,medium
Indiranagar,4,9,1,1,0.821,high,0.492,medium,0.612,high
MG Road,4,10,1,1,0.964,high,0.383,medium,0.729,high
Whitefield,4,10,1,1,0.922,high,0.409,medium,0.418,medium
Koramangala,4,10,1,1,0.7,high,0.695,high,0.482,medium
Electronic City,4,10,1,1,0.942,high,0.641,high,0.689,high
Indiranagar,4,10,1,1,0.798,high,0.479,medium,0.546,medium
MG Road,4,11,1,0,0.724,high,0.519,medium,0.752,high
Whitefield,4,11,1,0,0.626,medium,0.413,medium,0.371,medium
Koramangala,4,11,1,0,0.275,low,0.281,low,0.302,medium
Electronic City,4,11,1,0,0.736,high,0.834,high,0.499,medium
Indiranagar,4,11,1,0,0.54,medium,0.335,medium,0.606,high
MG Road,4,12,1,0,0.809,high,0.423,medium,0.716,high
Whitefield,4,12,1,0,0.547,medium,0.57,medium,0.477,medium
Koramangala,4,12,1,0,0.364,medium,0.383,medium,0.352,medium
Electronic City,4,12,1,0,0.818,high,0.621,high,0.418,medium
Indiranagar,4,12,1,0,0.549,medium,0.487,medium,0.461,medium
MG Road,4,13,1,0,0.768,high,0.442,medium,0.649,high
Whitefield,4,13,1,0,0.765,high,0.429,medium,0.458,medium
Koramangala,4,13,1,0,0.513,medium,0.351,medium,0.45,medium
Electronic City,4,13,1,0,0.665,high,0.508,medium,0.422,medium
Indiranagar,4,13,1,0,0.679,high,0.594,medium,0.805,high
MG Road,4,14,1,0,0.846,high,0.625,high,0.658,high
Whitefield,4,14,1,0,0.572,medium,0.434,medium,0.349,medium
Koramangala,4,14,1,0,0.413,medium,0.421,medium,0.265,low
Electronic City,4,14,1,0,0.841,high,0.721,high,0.5,medium
Indiranagar,4,14,1,0,0.43,medium,0.24,low,0.577,medium
MG Road,4,15,1,0,0.798,high,0.459,medium,0.569,medium
Whitefield,4,15,1,0,0.667,high,0.522,medium,0.393,medium
Koramangala,4,15,1,0,0.371,medium,0.22,low,0.256,low
Electronic City,4,15,1,0,0.879,high,0.583,medium,0.648,high
Indiranagar,4,15,1,0,0.722,high,0.605,high,0.521,medium
MG Road,4,16,1,0,0.832,high,0.58,medium,0.543,medium
Whitefield,4,16,1,0,0.626,medium,0.32,medium,0.519,medium
Koramangala,4,16,1,0,0.363,medium,0.274,low,0.373,medium
Electronic City,4,16,1,0,0.729,high,0.569,medium,0.419,medium
Indiranagar,4,16,1,0,0.67,high,0.334,medium,0.556,medium
MG Road,4,17,1,1,1.0,high,0.6,medium,0.632,high
Whitefield,4,17,1,1,0.891,high,0.642,high,0.542,medium
Koramangala,4,17,1,1,0.689,high,0.546,medium,0.587,medium
Electronic City,4,17,1,1,1.0,high,0.676,high,0.642,high
Indiranagar,4,17,1,1,1.0,high,0.687,high,0.578,medium
MG Road,4,18,1,1,1.0,high,0.688,high,0.483,medium
Whitefield,4,18,1,1,0.918,high,0.589,medium,0.508,medium
Koramangala,4,18,1,1,0.677,high,0.493,medium,0.542,medium
Electronic City,4,18,1,1,0.965,high,0.727,high,0.535,medium
Indiranagar,4,18,1,1,0.909,high,0.698,high,0.545,medium
MG Road,4,19,1,1,1.0,high,0.646,high,0.781,high
Whitefield,4,19,1,1,0.879,high,0.799,high,0.479,medium
Koramangala,4,19,1,1,0.622,medium,0.433,medium,0.419,medium
Electronic City,4,19,1,1,1.0,high,0.538,medium,0.47,medium
Indiranagar,4,19,1,1,0.765,high,0.63,high,0.752,high
MG Road,4,20,1,1,1.0,high,0.683,high,0.707,high
Whitefield,4,20,1,1,0.943,high,0.567,medium,0.551,medium
Koramangala,4,20,1,1,0.728,high,0.56,medium,0.51,medium
Electronic City,4,20,1,1,1.0,high,0.43,medium,0.643,high
Indiranagar,4,20,1,1,0.798,high,0.375,medium,0.645,high
MG Road,4,21,1,0,0.91,high,0.623,high,0.759,high
Whitefield,4,21,1,0,0.729,high,0.642,high,0.606,high
Koramangala,4,21,1,0,0.459,medium,0.329,medium,0.224,low
Electronic City,4,21,1,0,0.73,high,0.427,medium,0.684,high
Indiranagar,4,21,1,0,0.586,medium,0.422,medium,0.565,medium
MG Road,4,22,1,0,0.803,high,0.732,high,0.559,medium
Whitefield,4,22,1,0,0.616,medium,0.357,medium,0.264,low
Koramangala,4,22,1,0,0.351,medium,0.242,low,0.297,low
Electronic City,4,22,1,0,0.695,high,0.346,medium,0.445,medium
Indiranagar,4,22,1,0,0.48,medium,0.412,medium,0.475,medium
MG Road,4,23,1,0,0.683,high,0.447,medium,0.498,medium
Whitefield,4,23,1,0,0.626,medium,0.572,medium,0.213,low
Koramangala,4,23,1,0,0.409,medium,0.27,low,0.431,medium
Electronic City,4,23,1,0,0.767,high,0.462,medium,0.45,medium
Indiranagar,4,23,1,0,0.536,medium,0.483,medium,0.492,medium
MG Road,5,0,0,0,0.402,medium,0.275,low,0.39,medium
Whitefield,5,0,0,0,0.0,low,0.0,low,0.0,low
Koramangala,5,0,0,0,0.0,low,0.051,low,0.042,low
Electronic City,5,0,0,0,0.272,low,0.142,low,0.298,low
Indiranagar,5,0,0,0,0.179,low,0.215,low,0.32,medium
MG Road,5,1,0,0,0.179,low,0.0,low,0.3,low
Whitefield,5,1,0,0,0.033,low,0.0,low,0.15,low
Koramangala,5,1,0,0,0.0,low,0.0,low,0.135,low
Electronic City,5,1,0,0,0.213,low,0.194,low,0.151,low
Indiranagar,5,1,0,0,0.163,low,0.104,low,0.342,medium
MG Road,5,2,0,0,0.307,low,0.238,low,0.518,medium
Whitefield,5,2,0,0,0.073,low,0.0,low,0.215,low
Koramangala,5,2,0,0,0.0,low,0.011,low,0.197,low
Electronic City,5,2,0,0,0.183,low,0.115,low,0.06,low
Indiranagar,5,2,0,0,0.006,low,0.014,low,0.293,low
MG Road,5,3,0,0,0.168,low,0.244,low,0.28,low
Whitefield,5,3,0,0,0.128,low,0.132,low,0.136,low
Koramangala,5,3,0,0,0.0,low,0.0,low,0.292,low
Electronic City,5,3,0,0,0.28,low,0.129,low,0.426,medium
Indiranagar,5,3,0,0,0.03,low,0.05,low,0.313,medium
MG Road,5,4,0,0,0.239,low,0.249,low,0.475,medium
Whitefield,5,4,0,0,0.0,low,0.13,low,0.0,low
Koramangala,5,4,0,0,0.0,low,0.113,low,0.091,low
Electronic City,5,4,0,0,0.167,low,0.006,low,0.22,low
Indiranagar,5,4,0,0,0.025,low,0.096,low,0.416,medium
MG Road,5,5,0,0,0.662,high,0.407,medium,0.544,medium
Whitefield,5,5,0,0,0.215,low,0.07,low,0.333,medium
Koramangala,5,5,0,0,0.279,low,0.072,low,0.252,low
Electronic City,5,5,0,0,0.498,medium,0.377,medium,0.293,low
Indiranagar,5,5,0,0,0.384,medium,0.221,low,0.427,medium
MG Road,5,6,0,0,0.594,medium,0.416,medium,0.494,medium
Whitefield,5,6,0,0,0.341,low,0.23,low,0.249,low
Koramangala,5,6,0,0,0.129,low,0.25,low,0.308,medium
Electronic City,5,6,0,0,0.476,medium,0.403,medium,0.332,medium
Indiranagar,5,6,0,0,0.444,medium,0.348,medium,0.442,medium
MG Road,5,7,0,0,0.586,medium,0.253,low,0.422,medium
Whitefield,5,7,0,0,0.254,low,0.192,low,0.425,medium
Koramangala,5,7,0,0,0.329,low,0.294,low,0.381,medium
Electronic City,5,7,0,0,0.356,medium,0.195,low,0.239,low
Indiranagar,5,7,0,0,0.3,low,0.193,low,0.348,medium
MG Road,5,8,0,1,0.392,medium,0.349,medium,0.349,medium
Whitefield,5,8,0,1,0.369,medium,0.466,medium,0.206,low
Koramangala,5,8,0,1,0.0,low,0.0,low,0.31,medium
Electronic City,5,8,0,1,0.657,high,0.337,medium,0.487,medium
Indiranagar,5,8,0,1,0.313,low,0.208,low,0.665,high
MG Road,5,9,0,1,0.43,medium,0.326,medium,0.519,medium
Whitefield,5,9,0,1,0.437,medium,0.316,medium,0.356,medium
Koramangala,5,9,0,1,0.119,low,0.11,low,0.213,low
Electronic City,5,9,0,1,0.55,medium,0.348,medium,0.433,medium
Indiranagar,5,9,0,1,0.348,low,0.356,medium,0.409,medium
MG Road,5,10,0,1,0.408,medium,0.412,medium,0.373,medium
Whitefield,5,10,0,1,0.298,low,0.149,low,0.407,medium
Koramangala,5,10,0,1,0.0,low,0.314,medium,0.306,medium
Electronic City,5,10,0,1,0.518,medium,0.357,medium,0.411,medium
Indiranagar,5,10,0,1,0.392,medium,0.339,medium,0.487,medium
MG Road,5,11,0,0,0.557,medium,0.37,medium,0.508,medium
Whitefield,5,11,0,0,0.334,low,0.347,medium,0.343,medium
Koramangala,5,11,0,0,0.0,low,0.066,low,0.219,low
Electronic City,5,11,0,0,0.499,medium,0.31,medium,0.487,medium
Indiranagar,5,11,0,0,0.426,medium,0.221,low,0.486,medium
MG Road,5,12,0,0,0.472,medium,0.193,low,0.426,medium
Whitefield,5,12,0,0,0.419,medium,0.389,medium,0.369,medium
Koramangala,5,12,0,0,0.208,low,0.197,low,0.219,low
Electronic City,5,12,0,0,0.535,medium,0.454,medium,0.464,medium
Indiranagar,5,12,0,0,0.445,medium,0.382,medium,0.488,medium
MG Road,5,13,0,0,0.636,medium,0.442,medium,0.466,medium
Whitefield,5,13,0,0,0.337,low,0.161,low,0.217,low
Koramangala,5,13,0,0,0.138,low,0.018,low,0.225,low
Electronic City,5,13,0,0,0.349,low,0.265,low,0.315,medium
Indiranagar,5,13,0,0,0.285,low,0.265,low,0.483,medium
MG Road,5,14,0,0,0.421,medium,0.219,low,0.392,medium
Whitefield,5,14,0,0,0.275,low,0.275,low,0.241,low
Koramangala,5,14,0,0,0.129,low,0.0,low,0.315,medium
Electronic City,5,14,0,0,0.401,medium,0.287,low,0.363,medium
Indiranagar,5,14,0,0,0.459,medium,0.19,low,0.157,low
MG Road,5,15,0,0,0.565,medium,0.575,medium,0.65,high
Whitefield,5,15,0,0,0.367,medium,0.208,low,0.377,medium
Koramangala,5,15,0,0,0.072,low,0.098,low,0.279,low
Electronic City,5,15,0,0,0.585,medium,0.685,high,0.448,medium
Indiranagar,5,15,0,0,0.309,low,0.214,low,0.222,low
MG Road,5,16,0,0,0.494,medium,0.305,medium,0.445,medium
Whitefield,5,16,0,0,0.362,medium,0.171,low,0.407,medium
Koramangala,5,16,0,0,0.15,low,0.104,low,0.227,low
Electronic City,5,16,0,0,0.512,medium,0.441,medium,0.293,low
Indiranagar,5,16,0,0,0.297,low,0.178,low,0.259,low
MG Road,5,17,0,1,0.484,medium,0.291,low,0.581,medium
Whitefield,5,17,0,1,0.371,medium,0.279,low,0.383,medium
Koramangala,5,17,0,1,0.139,low,0.136,low,0.245,low
Electronic City,5,17,0,1,0.521,medium,0.307,medium,0.14,low
Indiranagar,5,17,0,1,0.339,low,0.38,medium,0.503,medium
MG Road,5,18,0,1,0.627,medium,0.563,medium,0.56,medium
Whitefield,5,18,0,1,0.366,medium,0.194,low,0.265,low
Koramangala,5,18,0,1,0.199,low,0.26,low,0.266,low
Electronic City,5,18,0,1,0.464,medium,0.325,medium,0.421,medium
Indiranagar,5,18,0,1,0.234,low,0.0,low,0.314,medium
MG Road,5,19,0,1,0.452,medium,0.266,low,0.466,medium
Whitefield,5,19,0,1,0.314,low,0.365,medium,0.308,medium
Koramangala,5,19,0,1,0.174,low,0.184,low,0.156,low
Electronic City,5,19,0,1,0.583,medium,0.401,medium,0.475,medium
Indiranagar,5,19,0,1,0.264,low,0.03,low,0.462,medium
MG Road,5,20,0,1,0.58,medium,0.316,medium,0.445,medium
Whitefield,5,20,0,1,0.44,medium,0.189,low,0.49,medium
Koramangala,5,20,0,1,0.078,low,0.118,low,0.198,low
Electronic City,5,20,0,1,0.548,medium,0.329,medium,0.378,medium
Indiranagar,5,20,0,1,0.353,medium,0.147,low,0.49,medium
MG Road,5,21,0,0,0.509,medium,0.333,medium,0.404,medium
Whitefield,5,21,0,0,0.145,low,0.082,low,0.449,medium
Koramangala,5,21,0,0,0.213,low,0.147,low,0.259,low
Electronic City,5,21,0,0,0.502,medium,0.406,medium,0.258,low
Indiranagar,5,21,0,0,0.439,medium,0.379,medium,0.522,medium
MG Road,5,22,0,0,0.585,medium,0.412,medium,0.601,high
Whitefield,5,22,0,0,0.397,medium,0.243,low,0.252,low
Koramangala,5,22,0,0,0.158,low,0.266,low,0.139,low
Electronic City,5,22,0,0,0.383,medium,0.284,low,0.333,medium
Indiranagar,5,22,0,0,0.364,medium,0.279,low,0.398,medium
MG Road,5,23,0,0,0.669,high,0.308,medium,0.485,medium
Whitefield,5,23,0,0,0.342,low,0.075,low,0.269,low
Koramangala,5,23,0,0,0.283,low,0.2,low,0.336,medium
Electronic City,5,23,0,0,0.399,medium,0.218,low,0.297,low
Indiranagar,5,23,0,0,0.325,low,0.355,medium,0.461,medium
MG Road,6,0,0,0,0.161,low,0.137,low,0.414,medium
Whitefield,6,0,0,0,0.141,low,0.257,low,0.105,low
Koramangala,6,0,0,0,0.0,low,0.0,low,0.177,low
Electronic City,6,0,0,0,0.237,low,0.265,low,0.262,low
Indiranagar,6,0,0,0,0.024,low,0.032,low,0.201,low
MG Road,6,1,0,0,0.417,medium,0.131,low,0.485,medium
Whitefield,6,1,0,0,0.212,low,0.149,low,0.216,low
Koramangala,6,1,0,0,0.0,low,0.0,low,0.337,medium
Electronic City,6,1,0,0,0.023,low,0.169,low,0.042,low
Indiranagar,6,1,0,0,0.029,low,0.0,low,0.345,medium
MG Road,6,2,0,0,0.122,low,0.132,low,0.551,medium
Whitefield,6,2,0,0,0.0,low,0.019,low,0.084,low
Koramangala,6,2,0,0,0.0,low,0.002,low,0.136,low
Electronic City,6,2,0,0,0.239,low,0.348,medium,0.252,low
Indiranagar,6,2,0,0,0.108,low,0.0,low,0.222,low
MG Road,6,3,0,0,0.288,low,0.35,medium,0.451,medium
Whitefield,6,3,0,0,0.025,low,0.017,low,0.035,low
Koramangala,6,3,0,0,0.0,low,0.088,low,0.155,low
Electronic City,6,3,0,0,0.162,low,0.14,low,0.196,low
Indiranagar,6,3,0,0,0.045,low,0.241,low,0.268,low
MG Road,6,4,0,0,0.221,low,0.09,low,0.463,medium
Whitefield,6,4,0,0,0.036,low,0.0,low,0.296,low
Koramangala,6,4,0,0,0.0,low,0.0,low,0.013,low
Electronic City,6,4,0,0,0.281,low,0.128,low,0.366,medium
Indiranagar,6,4,0,0,0.0,low,0.089,low,0.154,low
MG Road,6,5,0,0,0.608,medium,0.427,medium,0.448,medium
Whitefield,6,5,0,0,0.317,low,0.291,low,0.288,low
Koramangala,6,5,0,0,0.197,low,0.335,medium,0.122,low
Electronic City,6,5,0,0,0.629,medium,0.451,medium,0.337,medium
Indiranagar,6,5,0,0,0.244,low,0.152,low,0.465,medium
MG Road,6,6,0,0,0.54,medium,0.529,medium,0.371,medium
Whitefield,6,6,0,0,0.349,low,0.119,low,0.326,medium
Koramangala,6,6,0,0,0.221,low,0.113,low,0.028,low
Electronic City,6,6,0,0,0.516,medium,0.405,medium,0.422,medium
Indiranagar,6,6,0,0,0.449,medium,0.207,low,0.523,medium
MG Road,6,7,0,0,0.645,medium,0.274,low,0.59,medium
Whitefield,6,7,0,0,0.31,low,0.209,low,0.309,medium
Koramangala,6,7,0,0,0.111,low,0.01,low,0.248,low
Electronic City,6,7,0,0,0.413,medium,0.181,low,0.408,medium
Indiranagar,6,7,0,0,0.258,low,0.247,low,0.424,medium
MG Road,6,8,0,1,0.412,medium,0.221,low,0.584,medium
Whitefield,6,8,0,1,0.272,low,0.144,low,0.305,medium
Koramangala,6,8,0,1,0.213,low,0.124,low,0.225,low
Electronic City,6,8,0,1,0.614,medium,0.604,high,0.518,medium
Indiranagar,6,8,0,1,0.357,medium,0.169,low,0.335,medium
MG Road,6,9,0,1,0.592,medium,0.456,medium,0.677,high
Whitefield,6,9,0,1,0.402,medium,0.131,low,0.416,medium
Koramangala,6,9,0,1,0.07,low,0.011,low,0.253,low
Electronic City,6,9,0,1,0.66,high,0.773,high,0.5,medium
Indiranagar,6,9,0,1,0.335,low,0.288,low,0.498,medium
MG Road,6,10,0,1,0.524,medium,0.547,medium,0.533,medium
Whitefield,6,10,0,1,0.39,medium,0.339,medium,0.348,medium
Koramangala,6,10,0,1,0.217,low,0.09,low,0.231,low
Electronic City,6,10,0,1,0.412,medium,0.332,medium,0.418,medium
Indiranagar,6,10,0,1,0.387,medium,0.438,medium,0.429,medium
MG Road,6,11,0,0,0.603,medium,0.313,medium,0.503,medium
Whitefield,6,11,0,0,0.406,medium,0.369,medium,0.283,low
Koramangala,6,11,0,0,0.144,low,0.0,low,0.222,low
Electronic City,6,11,0,0,0.571,medium,0.457,medium,0.454,medium
Indiranagar,6,11,0,0,0.354,medium,0.248,low,0.351,medium
MG Road,6,12,0,0,0.606,medium,0.466,medium,0.592,medium
Whitefield,6,12,0,0,0.308,low,0.0,low,0.383,medium
Koramangala,6,12,0,0,0.112,low,0.0,low,0.314,medium
Electronic City,6,12,0,0,0.469,medium,0.434,medium,0.424,medium
Indiranagar,6,12,0,0,0.405,medium,0.147,low,0.558,medium
MG Road,6,13,0,0,0.571,medium,0.363,medium,0.543,medium
Whitefield,6,13,0,0,0.208,low,0.186,low,0.13,low
Koramangala,6,13,0,0,0.042,low,0.0,low,0.328,medium
Electronic City,6,13,0,0,0.45,medium,0.468,medium,0.301,medium
Indiranagar,6,13,0,0,0.213,low,0.038,low,0.484,medium
MG Road,6,14,0,0,0.538,medium,0.321,medium,0.531,medium
Whitefield,6,14,0,0,0.39,medium,0.385,medium,0.451,medium
Koramangala,6,14,0,0,0.121,low,0.0,low,0.207,low
Electronic City,6,14,0,0,0.521,medium,0.268,low,0.288,low
Indiranagar,6,14,0,0,0.378,medium,0.259,low,0.429,medium
MG Road,6,15,0,0,0.489,medium,0.319,medium,0.403,medium
Whitefield,6,15,0,0,0.421,medium,0.398,medium,0.134,low
Koramangala,6,15,0,0,0.076,low,0.0,low,0.165,low
Electronic City,6,15,0,0,0.493,medium,0.2,low,0.28,low
Indiranagar,6,15,0,0,0.27,low,0.21,low,0.39,medium
MG Road,6,16,0,0,0.492,medium,0.362,medium,0.442,medium
Whitefield,6,16,0,0,0.328,low,0.397,medium,0.415,medium
Koramangala,6,16,0,0,0.046,low,0.115,low,0.3,low
Electronic City,6,16,0,0,0.408,medium,0.368,medium,0.492,medium
Indiranagar,6,16,0,0,0.26,low,0.09,low,0.481,medium
MG Road,6,17,0,1,0.572,medium,0.455,medium,0.563,medium
Whitefield,6,17,0,1,0.381,medium,0.134,low,0.407,medium
Koramangala,6,17,0,1,0.244,low,0.148,low,0.293,low
Electronic City,6,17,0,1,0.378,medium,0.316,medium,0.383,medium
Indiranagar,6,17,0,1,0.345,low,0.354,medium,0.38,medium
MG Road,6,18,0,1,0.595,medium,0.315,medium,0.536,medium
Whitefield,6,18,0,1,0.336,low,0.258,low,0.247,low
Koramangala,6,18,0,1,0.139,low,0.18,low,0.212,low
Electronic City,6,18,0,1,0.371,medium,0.435,medium,0.462,medium
Indiranagar,6,18,0,1,0.247,low,0.242,low,0.323,medium
MG Road,6,19,0,1,0.571,medium,0.429,medium,0.505,medium
